Brand;Fragrance;Tier;Gender;Top Notes;Middle Notes;Base Notes;Accords;Rating;Rating Count
Aaron Terence Hughes;Blood Orange;Statement;unisex;Mandarin Orange, Blood Orange and Tangerine;;Musk, Amber and Sandalwood;citrus, musky, powdery, fruity;4.03;125.0
Aaron Terence Hughes;Ozone;Statement;unisex;Lime and Ozonic notes;Coconut, Peppermint and Cappuccino;Skin, Ambergris, Driftwood and Patchouli;coconut, green, citrus, ozonic, sweet;4.36;157.0
Aaron Terence Hughes;Addicted;Wildcard;unisex;;Apple, Honey and Cinnamon;Chocolate, Tonka Bean, Vanilla and Sandalwood;warm spicy, sweet, chocolate, woody, honey;4.68;47.0
Aaron Terence Hughes;Notorious;Statement;unisex;Mandarin Orange, Bergamot and Lemon;Vanilla, Tonka Bean, Heliotrope, Leather and Ambrette;Rum, Cedar and Patchouli;vanilla, citrus, powdery, sweet, woody;4.49;86.0
Aaron Terence Hughes;Boss Bastard;Statement, Wildcard;men;Mandarin Orange, Bergamot and Lemon;Tobacco, Amber and Cedar;Cacao Pod, Musk, Sandalwood and Vetiver;woody, tobacco, amber, cacao, powdery;3.96;73.0
Aaron Terence Hughes;Carbon;Wildcard;unisex;;White Flowers, Woodsy Notes, Vanilla, Heliotrope, Amber and Ylang-Ylang;Musk, Skin and Ambergris;musky, powdery, animalic, white floral, amber;4.33;57.0
Aaron Terence Hughes;Daddy;Statement, Wildcard;men;Apple and Bergamot;Tonka Bean and Nutmeg;Vanilla, Oud, Skin, Benzoin, Patchouli, Sandalwood and Ambergris;vanilla, fresh spicy, amber, fruity, warm spicy;4.48;115.0
Aaron Terence Hughes;Forbidden;Statement;unisex;Chocolate, Orange and Bergamot;Cherry, Vanilla and Tonka Bean;Rose, Rum, Oud, Sandalwood, White Musk, Patchouli and Ambergris;sweet, vanilla, citrus, chocolate, cherry;4.47;60.0
Aaron Terence Hughes;Onyx Concentrate;Statement, Wildcard;unisex;;;;rose, patchouli, oud, woody, powdery;4.18;180.0
Aaron Terence Hughes;Hard Candy;Statement, Wildcard;unisex;Lavender, Mint, Mandarin Orange, Lemon and Orange;Strawberry, Tonka Bean, Vanilla, Honey and Nutmeg;Agarwood (Oud), Patchouli and Sandalwood;sweet, vanilla, aromatic, fruity, fresh spicy;4.58;276.0
Aaron Terence Hughes;Hard Candy Elixir;Statement;unisex;Mint, Lavender, Lemon, Sweet Orange and Mandarin Orange;Strawberry, Vanilla, Tonka, Amber, Honey and Nutmeg;White Musk, Musk, Patchouli, Ambergris, Oud and Sandalwood;sweet, vanilla, amber, fruity, aromatic;4.71;244.0
Aaron Terence Hughes;Haze;Statement;unisex;Pink Grapefruit, Sweet Orange and Lemon;Pineapple, Black Currant, Pink Pepper, Jasmine and Galbanum;White Musk, Ambergris, Skin and Patchouli;citrus, fruity, musky, sweet, amber;4.48;42.0
Aaron Terence Hughes;Guapo;Statement;men;Lemon, Bergamot, Sweet Orange and Mandarin Orange;Ambroxan, Woody Notes, Granny Smith apple, Tonka and Amber;Haitian Vetiver, White Musk, Ambergris and Sandalwood;citrus, amber, woody, aromatic, musky;4.23;102.0
Aaron Terence Hughes;High Voltage;Statement, Wildcard;unisex;Grapefruit, Lemon and Orange;Ambroxan and Amberwood;Patchouli and Sandalwood;amber, citrus, woody, musky, warm spicy;4.05;62.0
Aaron Terence Hughes;Homme;Statement;men;;Tonka and Amber;Vanilla, Sandalwood, White Musk and Cedarwood;vanilla, powdery, iris, woody, sweet;4.53;78.0
Aaron Terence Hughes;Jasmine Narcotique;Statement;unisex;;;Musk, Patchouli and Amber;white floral, musky, fruity, sweet, patchouli;3.66;83.0
Aaron Terence Hughes;Legend;Statement, Wildcard;men;Grapefruit, Bergamot and Lemon;Ambergris, Amber, Tonka Bean and Apple;Elemi resin, Patchouli, Oakmoss and Dry Wood;amber, citrus, woody, aromatic, balsamic;4.02;106.0
Aaron Terence Hughes;Luna;Statement, Wildcard;unisex;;Tahitian Vanilla and Incense;Patchouli, Oud, Ambergris and Musk;rose, vanilla, patchouli, balsamic, oud;4.0;59.0
Aaron Terence Hughes;Maverick;Statement, Wildcard;unisex;Lemon, Bergamot and Mandarin Orange;Tonka Bean, Plum and Vanilla;Nutmeg, Patchouli and Cedar;vanilla, woody, sweet, citrus, fresh spicy;4.43;138.0
Aaron Terence Hughes;Neon;Statement;unisex;Lime, Sweet Orange, Pink Pepper, Grapefruit and Bergamot;Ambroxan, Pineapple and Galbanum;White Musk, Sandalwood, Patchouli and Vetiver;citrus, musky, sweet, woody, amber;4.21;62.0
Aaron Terence Hughes;Haze Extreme;Statement;unisex;Pink Grapefruit, Sweet Orange, Lemon and Hedione;Pineapple, Black Currant, Galbanum and Pink Pepper;White Musk, Ambergris, Rose and Patchouli;citrus, fruity, sweet, musky, green;4.27;52.0
Acqua DI Parma;Acqua Nobile Rosa;Statement;women;Mandarin Orange, Bergamot and Black Currant;Rose, Damask Rose, Freesia, Cyclamen and Black Pepper;Musk and Ambergris;rose, floral, citrus, fruity, musky;3.87;142.0
Acqua DI Parma;Acqua DI Parma Blu Mediterraneo - Arancia La Spugnatura;Safe, Statement, Wildcard;unisex;Sicilian Orange, Mandarin Orange and Lemon;Bitter Almond and Black Pepper;Cedar and Musk;citrus, fresh spicy, sweet;4.11;202.0
Acqua DI Parma;Acqua DI Parma Blu Mediterraneo - Cipresso DI Toscana;Statement, Wildcard;unisex;Rosemary, Basil, Sage, Grapefruit and Petitgrain;Pine Tree, Lavender, Coriander, Cardamom, Jasmine and Lily-of-the-Valley;Cypress, Silver Pine, Vetiver, Oakmoss, Cedar and Patchouli;aromatic, woody, fresh spicy, green, herbal;3.96;795.0
Acqua DI Parma;Acqua DI Parma Blu Mediterraneo - Ginepro DI Sardegna;Safe, Statement, Wildcard;unisex;Juniper, Allspice, Pepper, Nutmeg and Bergamot;Cypress and Sage;;fresh spicy, aromatic, woody;4.2;896.0
Acqua DI Parma;Bergamotto DI Calabria La Spugnatura;Safe, Statement, Wildcard;unisex;;Grapefruit, Orange and Mandarin Orange;Geranium and Fennel;citrus, fresh spicy, aromatic;4.17;205.0
Acqua DI Parma;Blu Mediterraneo Foglie DI Basilico;Statement, Wildcard;unisex;;;;fresh spicy, aromatic, green, herbal;4.5;22.0
Acqua DI Parma;Cedro DI Taormina;Safe, Statement, Wildcard;unisex;Citruses, Petitgrain and Basil;Lavender and Black Pepper;Virginian Cedar, Vetiver and Labdanum;woody, fresh spicy, aromatic, citrus, green;4.18;691.0
Acqua DI Parma;Colonia Oud;Statement, Wildcard;men;Calabrian bergamot and Italian Orange;Agarwood (Oud), Amyris and Coriander;Leather, Atlas Cedar, Sandalwood, Musk and Indonesian Patchouli Leaf;woody, citrus, oud, leather, aromatic;4.22;949.0
Acqua DI Parma;Mandarino DI Sicilia;Statement, Wildcard;unisex;Green Mandarin, Blood Orange, Bergamot and Lemon;Petitgrain and Spearmint;Patchouli, Cedar and Musk;citrus, green, fresh spicy;4.41;138.0
Acqua DI Parma;Mandarino Millesimato 2022;Statement, Wildcard;unisex;Mandarin Orange, Bergamot, Blood Orange and Lemon;Petitgrain and Spearmint;Cedar, Musk and Patchouli;citrus, green, fresh spicy, aromatic, woody;4.58;26.0
Acqua DI Parma;Mirto DI Panarea Forte Special Edition Eau De Toilette;Statement, Wildcard;unisex;Myrtle, Italian Lemon, Basil and Bergamot;Sea Notes, Jasmine and Damask Rose;Juniper, Mastic or Lentisque, Cedar and Amber;aromatic, fresh spicy, herbal, citrus, marine;4.38;77.0
Acqua DI Parma;Mirto DI Panarea Limited Edition;Statement, Wildcard;unisex;Myrtle, Italian Lemon, Bergamot and Basil;Sea Notes, Jasmine and Damask Rose;Juniper, Virginian Cedar, Amber and Mastic or Lentisque;aromatic, fresh spicy, citrus, marine, herbal;3.97;37.0
Acqua DI Parma;Colonia Ebano;Safe, Statement, Wildcard;men;Resins, Red Pepper, Petitgrain and Bergamot;Ebony and Honey;Vetiver and Patchouli;woody, warm spicy, honey, amber, aromatic;4.02;315.0
Acqua DI Parma;Colonia Intensa Oud Eau De Cologne Concentree;Statement, Wildcard;men;;Agarwood (Oud), Coriander and Amyris;Leather and Musk;oud, leather, citrus, aromatic, animalic;4.35;993.0
Acqua DI Parma;Colonia Mirra;Safe, Statement, Wildcard;men;Orange Blossom and Citruses;Myrhh and Nutmeg;Amber and Patchouli;amber, warm spicy, fresh spicy, balsamic, citrus;4.14;490.0
Acqua DI Parma;Acqua Nobile Magnolia;Safe, Statement;women;Citron, Lemon, Neroli, Bergamot and Mandarin Orange;Magnolia, Lily-of-the-Valley, Freesia, Jasmine and Orange Blossom;Vanilla and Musk;citrus, floral, white floral, fresh;4.05;195.0
Acqua DI Parma;Chinotto DI Liguria;Statement, Wildcard;unisex;Chinotto and Mandarin Orange;Rosemary, Jasmine, Geranium and Cardamom;Musk and Patchouli;aromatic, citrus, fresh spicy, warm spicy, musky;3.9;752.0
Acqua DI Parma;Acqua Nobile Iris;Safe, Statement;women;Citron, Grapefruit and Mandarin Orange;Iris, Orange Blossom, Neroli and Violet Leaves;Musk and Vanilla;citrus, white floral, iris, powdery;4.09;208.0
Acqua DI Parma;Gelsomino Nobile Edizione Speciale;Statement;women;Mandarin Orange and Pink Pepper;Jasmine, Tuberose and Orange Blossom;Musk and Cedar;white floral, citrus, tuberose, musky, woody;3.78;32.0
Acqua DI Parma;Profumo Eau De Parfum;Safe, Statement;women;Ylang-Ylang, Bergamot and Peony;Labdanum, Bulgarian Rose and Jasmine;Sandalwood, Vetiver, Patchouli and Musk;woody, floral, yellow floral, amber, rose;4.44;231.0
Acqua DI Parma;Colonia Quercia;Safe, Statement, Wildcard;men;Bergamot, Lemon, Petitgrain and Pink Pepper;Geranium, Cedar and Cardamom;Oakmoss, Tonka Bean and Patchouli;citrus, aromatic, woody, fresh spicy, warm spicy;4.07;529.0
Acqua DI Parma;Acqua DI Parma Gelsomino Nobile;Safe, Statement;women;Mandarin Orange and Pink Pepper;Jasmine, Tuberose and Orange Blossom;Musk and Cedar;white floral, tuberose, citrus;4.09;893.0
Acqua DI Parma;Acqua DI Parma Iris Nobile Edizione Speciale 2008;Statement, Wildcard;women;Bergamot, Mandarin Orange and Star Anise;Iris and Ylang-Ylang;Vanilla, Oakmoss and Patchouli;iris, powdery, citrus, earthy, woody;4.18;88.0
Acqua DI Parma;Acqua DI Parma Magnolia Nobile Special Edition;Statement;women;Bergamot, Virginia Cedar and Amalfi Lemon;Magnolia, Jasmine, Rose and Tuberose;Vanille, Vetyver, Patchouli and Sandalwood;floral, citrus, woody, white floral, vanilla;3.87;47.0
Acqua DI Parma;Acqua DI Parma Profumo;Safe, Statement;women;Ylang-Ylang, Peony and Bergamot;Bulgarian Rose, Jasmine and Labdanum;Vetiver, Sandalwood, Patchouli and Musk;woody, rose, yellow floral, white floral, floral;4.3;264.0
Acqua DI Parma;Acqua DI Parma Profumo 2008;Statement, Wildcard;women;Ylang-Ylang, Bergamot and Peony;Jasmine, Amber, French labdanum and Rose;Oakmoss, Patchouli, Sandalwood, Vetiver and Musk;woody, amber, earthy, floral, mossy;4.29;116.0
Acqua DI Parma;Colonia Assoluta In Villa;Statement, Wildcard;unisex;;;;woody, citrus, warm spicy, fresh;4.44;32.0
Acqua DI Parma;Acqua Nobile Gelsomino;Safe, Statement, Wildcard;women;;;;citrus, white floral, aromatic, fresh spicy, green;4.13;202.0
Acqua DI Parma;Colonia C.l.u.b.;Statement, Wildcard;men;Bergamot, Lemon, Pink Pepper and Black Pepper;Shiso and Rosemary;Cedar and Musk;aromatic, fresh spicy, citrus, woody, green;3.96;369.0
Acqua DI Parma;Colonia Futura;Statement, Wildcard;unisex;Lemon, Bergamot, Grapefruit and Pink Pepper;Lavender and Sage;;citrus, aromatic, fresh spicy, woody, lavender;3.82;616.0
Acqua DI Parma;Iris Nobile 10th Anniversary Special Edition;Statement;women;Iris Flower, Star Anise, Mandarin Orange, Orange and Bergamot;Ylang-Ylang, Mimosa, Tuberose, Cedar, Hibiscus and Orange Blossom;Vanila and Amber;powdery, citrus, yellow floral, floral, sweet;3.96;24.0
Acqua DI Parma;Iris Nobile Edizione Speziale;Statement, Wildcard;women;Mandarin Orange, Anise and Bergamot;Iris and Ylang-Ylang;Ambrette (Musk Mallow), Patchouli and oak moss;citrus, iris, woody, yellow floral, earthy;3.86;49.0
Acqua DI Parma;Iris Nobile Sublime;Safe, Statement;women;Neroli and Mandarin Orange;Tuscan Iris, Jasmine Sambac, Orange Blossom and Ylang-Ylang;Birch, Black locust and Cedar;white floral, citrus, iris, woody, sweet;4.04;258.0
Acqua DI Parma;Magnolia Nobile Special Edition;Statement;women;Citruses, Bergamot and Cedar;Magnolia, Jasmine, Tuberose and Rose;Vanilla, Patchouli, Vetiver and Sandalwood;citrus, floral, white floral, woody, tuberose;3.95;44.0
Acqua DI Parma;Magnolia Nobile Special Edition 2016;Statement;women;Bergamot, Lemon and Cedar;Magnolia, Jasmine, Rose and Tuberose;Sandalwood, Vanilla, Vetiver and Patchouli;citrus, woody, floral, white floral, aromatic;3.96;54.0
Acqua DI Parma;Peonia Nobile Edizione Speciale;Statement, Wildcard;women;Raspberry and Black Pepper;Peony and Geranium;Amber and Patchouli;floral, fresh, amber, rose, fresh spicy;3.89;35.0
Acqua DI Parma;Colonia Essenza Special Edition 2015;Statement, Wildcard;men;Mandarin Orange, Orange, Petitgrain, Bergamot and Grapefruit;Neroli, Sage, Jasmine, Rosemary, Rose and Lily-of-the-Valley;Cloves, Moss, Patchouli, Vetiver, Amber and Musk;citrus, aromatic, white floral, fresh spicy, woody;4.44;45.0
Acqua DI Parma;Colonia Sandalo Concentrã©e;Safe, Statement, Wildcard;men;Orange, Bergamot, Lemon and Petitgrain;Lavender and Cardamom;Sandalwood, Tonka Bean and Amber;citrus, aromatic, woody, warm spicy, lavender;4.25;384.0
Acqua DI Parma;Colonia Ambra;Statement, Wildcard;men;;;;amber, musky, marine, animalic, powdery;4.08;588.0
Acqua DI Parma;Magnolia Nobile Hair Mist;Statement;women;Lemon, Citron and Bergamot;Magnolia, Rose, Jasmine and Tuberose;Sandalwood, Vetiver, Vanilla and Patchouli;citrus, floral, aromatic, woody;3.9;20.0
Acqua DI Parma;Colonia Vaniglia;Statement;men;Mandarin Orange and Bergamot;Vanilla and Jasmine Sambac;;vanilla, citrus, musky, powdery, white floral;4.06;103.0
Acqua DI Parma;Zafferano;Statement, Wildcard;unisex;Bergamot, Coriander, Mandarin Orange and Bitter Orange;Saffron, Orange Blossom, Geranium, Jasmine Sambac and Rose;Woody Notes, Vanilla and Tonka Bean;warm spicy, citrus, white floral, aromatic, vanilla;3.94;170.0
Acqua DI Parma;Yuzu Eau De Parfum;Statement;unisex;Yuzu, Calabrian bergamot and Sichuan Pepper;Lotus, Mimosa, Violet Leaf and Jasmine;Musk, Sandalwood and Licorice;citrus, floral, fresh spicy, green, ozonic;3.78;462.0
Acqua DI Parma;Vaniglia Eau De Parfum;Safe, Statement;unisex;Heliotrope, Neroli, Calabrian bergamot and Mandarin Orange;Vanilla and Jasmine Sambac;Musk and Cedar;vanilla, powdery, citrus, white floral, musky;4.07;497.0
Acqua DI Parma;Sandalo Eau De Parfum;Statement, Wildcard;unisex;Calabrian bergamot, Orange, Lemon and Petitgrain;Lavender and Cardamom;Sandalwood, Tonka Bean and Amber;citrus, aromatic, woody, warm spicy, lavender;3.92;441.0
Acqua DI Parma;Sakura Eau De Parfum;Statement;unisex;Calabrian bergamot, Yellow Mandarin and Pink Pepper;Cherry Blossom and Jasmine Sambac;;floral, citrus, musky, fresh, white floral;3.95;385.0
Acqua DI Parma;Oud & Spice;Statement, Wildcard;men;Raspberry, Rose and Bergamot;Cloves, Pink Pepper and Cinnamon;Agarwood (Oud), Labdanum and Patchouli;warm spicy, oud, rose, sweet, fruity;3.86;478.0
Acqua DI Parma;Osmanthus Eau De Parfum;Statement;unisex;Neroli and Green Mandarin;Peony, Ambrette (Musk Mallow) and Pink Pepper;Osmanthus and Patchouli;floral, fruity, citrus, fresh, soft spicy;3.85;557.0
Acqua DI Parma;Magnolia Infinita;Statement;women;Calabrian bergamot, Lemon and Orange;Magnolia, Jasmine Sambac, Ylang-Ylang and Rose;Musk and Patchouli;citrus, floral, white floral, yellow floral, musky;3.83;149.0
Acqua DI Parma;Lily Of The Valley;Statement;unisex;Black Currant, Bergamot and Grapefruit;Lily-of-the-Valley, Geranium, Jasmine and Magnolia;Musk and Cedar;white floral, floral, citrus, fresh spicy, fresh;3.53;190.0
Acqua DI Parma;Quercia Eau De Parfum;Safe, Statement, Wildcard;unisex;Lemon, Calabrian bergamot, Pink Pepper and Petitgrain;Cardamom, Cedar and Geranium;Moss, Tonka Bean and Patchouli;aromatic, citrus, woody, warm spicy, mossy;4.01;456.0
Acqua DI Parma;Camelia Eau De Parfum;Statement;unisex;Calabrian bergamot, Yellow Mandarin, Pink Pepper and Cardamom;Camelia, Jasmine Sambac and Clary Sage;Musk and Benzoin;citrus, floral, powdery, musky, soft spicy;3.83;151.0
Acqua DI Parma;Leather Eau De Parfum;Statement, Wildcard;unisex;Raspberry, Brazilian Orange and Sicilian Lemon;Rose, Red Thyme, Honeysuckle and Petitgrain;Leather, Guaiac Wood and Cedar;leather, woody, citrus, animalic, fruity;4.04;595.0
Acqua DI Parma;Note DI Colonia I;Statement, Wildcard;unisex;Bergamot and Neroli;Violet, Lavender and Damask Rose;Patchouli and Cedar;citrus, woody, violet, fresh spicy, powdery;4.11;88.0
Acqua DI Parma;Note DI Colonia II;Statement, Wildcard;unisex;Basil, Bergamot, Orange, Grapefruit and Cardamom;Sandalwood and Guaiac Wood;Vetiver and Musk;woody, aromatic, citrus, fresh spicy, green;4.35;105.0
Acqua DI Parma;Note DI Colonia III;Safe, Statement, Wildcard;unisex;Mandarin Orange and Ginger;Olibanum, Vetiver and Jasmine;Myrhh, Labdanum and Tonka Bean;amber, warm spicy, aromatic, woody, citrus;4.46;175.0
Acqua DI Parma;Rosa Nobile Hair Mist;Statement;women;Bergamot, Pepper and Orange;Rose, Lily-of-the-Valley, Peony and Violet;Cedar, Musk and Ambergris;rose, floral, citrus, fresh, powdery;4.05;20.0
Acqua DI Parma;Note DI Colonia IV;Statement, Wildcard;unisex;Mandarin Orange and Bergamot;Orange Blossom and Turkish Rose;Opoponax, Labdanum and Patchouli;amber, citrus, sweet, balsamic, white floral;4.38;128.0
Acqua DI Parma;Note DI Colonia V;Statement, Wildcard;unisex;Calabrian bergamot, Lemon and Pink Pepper;Ginger and Juniper;Cedar and Sandalwood;citrus, woody, aromatic, fresh spicy, warm spicy;4.16;68.0
Acqua DI Parma;Ambra Eau De Parfum;Statement, Wildcard;unisex;Orange, Calabrian bergamot and Petitgrain;Cedar, Cypriol Oil or Nagarmotha, Patchouli and Rose;Ambergris, Sandalwood, Musk, Labdanum and Vanilla;woody, amber, citrus, powdery, animalic;3.89;198.0
Adi Ale Van;Saints Tears - Extrait Of Forgiveness;Statement;unisex;elemi and Incense;Myrrh and Labdanum;Oakmoss, Atlas Cedar, Virginian Cedar and Woody Notes;amber, woody, balsamic, aromatic, mossy;3.76;45.0
Adi Ale Van;Decembrie 89 - Freedom Elixir;Statement;unisex;Apple, Orange and Lemon;Vanilla Bean and Hazelnut;Madagascar Vanilla, Vanilla Absolute and Rum;vanilla, nutty, woody, citrus, sweet;4.43;44.0
Adi Ale Van;Dilema;Statement, Wildcard;unisex;Saffron and Bergamot;Myrrh and Licorice;Leather, Papyrus, Woody Notes and Patchouli;woody, leather, warm spicy, amber, patchouli;4.04;51.0
Adi Ale Van;Hai Hui Flower Power Extrait;Statement;unisex;Mint, Cardamom, Black Pepper and Pineapple;elemi, Fig and Almond;Vetiver, Papyrus and Woody Notes;woody, aromatic, green, fresh spicy, warm spicy;3.79;43.0
Adi Ale Van;Journey Of Life - Extrait Of Dreams;Statement;unisex;Grapes and Clary Sage;Plum and Cypriol Oil or Nagarmotha;Castoreum, Cacao and Vetiver;woody, leather, fruity, cacao, smoky;3.5;42.0
Adi Ale Van;Mioritic - Extrait De Folklore;Wildcard;unisex;elemi, Pink Pepper and Basil;Fig, Incense and Grapefruit;Patchouli, Woody Notes and White Musk;woody, aromatic, balsamic, fresh spicy, fruity;4.23;35.0
Adi Ale Van;My Judgement Day - Elixirul Vecerniei;Wildcard;unisex;Benzoin, Frankincense and Lavender;Benzoin, Cistus Incanus and Frankincense;Labdanum, Oakmoss, Vetiver, Myrrh and Cypriol Oil or Nagarmotha;amber, woody, earthy, mossy, warm spicy;3.86;21.0
Adi Ale Van;Origini - Extrait De Hotaru;Statement;unisex;Coconut, Sage and Black Pepper;cannabis, Orange Blossom and Myrrh;Patchouli, Cashmere Wood and Woody Notes;aromatic, woody, herbal, cannabis, coconut;3.61;23.0
Adi Ale Van;.u.m.b.r.e.;Statement, Wildcard;unisex;Animal notes and Davana;Coffee, Benzoin and Cypriol Oil or Nagarmotha;Myrrh and Tobacco;amber, warm spicy, coffee, tobacco, balsamic;4.13;79.0
Adi Ale Van;Urma Vie - Extrait De Ceaslov;Wildcard;unisex;Salt and Whiskey;Incense, Resins, Amber and Vetiver;Incense, Patchouli and Oakmoss;amber, woody, balsamic, smoky, earthy;3.86;36.0
Adi Ale Van;Dark Weed - Extrait Rudimentar;Statement;unisex;Black Currant, Metallic notes, Rose and Bergamot;cannabis, Rhubarb and Rose;Tobacco, Fir, Incense, Civet and Patchouli;aromatic, fruity, green, cannabis, woody;3.73;41.0
Aesop;Mystra;Statement, Wildcard;unisex;;;;amber, smoky, balsamic, musky, woody;4.42;67.0
Aesop;Rozu;Safe, Statement, Wildcard;unisex;Rose, Shiso, Pink Pepper, Bergamot and Bitter Orange;Rose, Guaiac Wood, Jasmine and Ylang-Ylang;Sandalowood, Vetiver, Patchouli, Myrrh and Musk;woody, aromatic, rose, green, warm spicy;4.1;392.0
Aesop;Erã©mia;Statement;unisex;Yuzu, Bergamot and Grapefruit;Guaiac Wood, Mimosa and Green Tea;Iris, Galbanum and Patchouli;green, powdery, woody, iris, citrus;3.78;209.0
Aesop;Marrakech Intense Parfum;Statement, Wildcard;unisex;;;;warm spicy, woody, citrus, aromatic, powdery;4.47;49.0
Aesop;Marrakech Intense;Safe, Statement, Wildcard;unisex;Cardamom, Cloves and Bergamot;Rose, Jasmine and Neroli;Sandalwood and Cedar;warm spicy, woody, aromatic, rose;4.22;628.0
Aesop;Marrakech;Statement, Wildcard;unisex;;;;warm spicy, woody, aromatic;3.92;142.0
Aesop;Hwyl;Safe, Statement, Wildcard;unisex;Spices and Thyme;Cypress and Woody Notes;Vetiver, Olibanum and Oakmoss;woody, aromatic, fresh spicy, earthy, amber;4.17;949.0
Aesop;Gloam;Statement;unisex;;;;powdery, iris, woody, warm spicy, yellow floral;3.5;133.0
Aesop;Karst;Statement, Wildcard;unisex;Juniper, Bergamot and Pink Pepper;Rosemary, Sage and Cumin;Vetiver, Sandalwood and Cedar;aromatic, fresh spicy, woody, citrus, soft spicy;3.97;265.0
Aesop;Miraceti;Statement;unisex;Black Pepper, Pimento Leaf and Mate;Ambrette (Musk Mallow), Styrax and Labdanum;Myrrh, Seaweed and Cedar;amber, warm spicy, woody, aromatic, musky;3.61;136.0
Aesop;Ouranon;Statement;unisex;Lavender, elemi and Petitgrain;Hay, Chamomile and Frankincense;Myrrh, Patchouli and Tonka Bean;amber, herbal, fresh spicy, aromatic, green;3.68;97.0
Aesop;Tacit;Safe, Statement, Wildcard;unisex;Yuzu and Citruses;;Vetiver and Cloves;citrus, aromatic, fresh spicy, green, woody;4.18;795.0
